task_id,task_name,duration,workers,cost_per_day,predecessors
1,Site Clearing,4,6,45000,
2,Excavation,6,8,60000,1
3,Piling,8,10,85000,2
4,Raft Foundation,7,12,95000,3
5,Basement Columns,6,8,70000,4
6,Basement Slab,5,7,65000,5
7,Ground Floor Columns,6,8,75000,6
8,Ground Floor Slab,5,7,70000,7
9,First Floor Columns,6,8,75000,8
10,First Floor Slab,5,7,70000,9
11,Second Floor Columns,6,8,75000,10
12,Second Floor Slab,5,7,70000,11
13,Third Floor Columns,6,8,75000,12
14,Third Floor Slab,5,7,70000,13
15,Staircase Core,8,6,60000,4
16,Lift Shaft Construction,9,6,65000,4
17,Roof Slab,6,8,80000,14
18,Waterproofing Roof,4,5,50000,17
19,External Brickwork GF,6,6,55000,8
20,External Brickwork FF,6,6,55000,10
21,External Brickwork SF,6,6,55000,12
22,External Brickwork TF,6,6,55000,14
23,Internal Partition GF,5,6,50000,8
24,Internal Partition FF,5,6,50000,10
25,Internal Partition SF,5,6,50000,12
26,Internal Partition TF,5,6,50000,14
27,Electrical Rough-in GF,6,5,48000,23
28,Electrical Rough-in FF,6,5,48000,24
29,Electrical Rough-in SF,6,5,48000,25
30,Electrical Rough-in TF,6,5,48000,26
31,Plumbing Rough-in All Floors,10,7,65000,23;24;25;26
32,Facade Installation,12,9,90000,18;19;20;21;22
33,Flooring All Floors,10,8,75000,27;28;29;30;31
34,Painting All Floors,8,6,60000,33
35,Final Inspection & Handover,5,4,40000,32;34
